id,sentence,topic,sentiment
0,Mua hàng chiều ngày 06/03/2023.,trai_nghiem,trung_lap
0,"Nhận hàng sáng ngày 07/03/2023
Ly màu hồng có hoạ tiết giá 272",trai_nghiem,trung_lap
0,"000
Ly màu đen giá 233",gia_ca,trung_lap
0,"000
Giảm giá được 20",gia_ca,tich_cuc
0,"000
Hôm nay nhận 2 ly này là ly thứ 6 rồi.",trai_nghiem,tich_cuc
0,Nắp cải tiến so với mẫu cũ khá tiện lợi vì chỉ cần bật qua phải + nhấn là mở nắp.,mo_ta,tich_cuc
0,Có 1 vấn đề nhỏ là nếu miếng lò xo ở nắp gãy hoặc rỉ sét thì khi mở nắp chắc phải xoay mở luôn nắp bự ra mới uống đc.,san_pham,tieu_cuc
0,Chất lượng giữ nhiệt với mình là ổn.,san_pham,tich_cuc
0,Vỏ ly dễ trầy xước nếu bị rơi,san_pham,tieu_cuc
0,va đập.,giao_hang,tieu_cuc
0,Hàng của Look & Look thì đẹp,san_pham,tich_cuc
0,chất lượng.,san_pham,tich_cuc
0,Tiki giao hàng nhanh.,giao_hang,tich_cuc
0,Mình đánh giá 5⭐️,trai_nghiem,tich_cuc
0,sẽ mua tiếp những lần sau.,trai_nghiem,tich_cuc
1,Hôm qua mình mua 1 bình về vợ thấy thích quá.,trai_nghiem,tich_cuc
1,Nên đặt thêm cho vợ 1 bình nữa,trai_nghiem,tich_cuc
1,sáng nay đã giao rồi,giao_hang,tich_cuc
1,Tiki quá tuyệt vời luôn.,trai_nghiem,tich_cuc
1,Gói hàng chắn chắc,dong_goi,tich_cuc
1,shipper thân thiện nữa.,giao_hang,tich_cuc
1,Không có chỗ nào chê luôn.,trai_nghiem,tich_cuc
1,"5 sao cho Tiki nha ❤
Nhưng mình hỏi xíu",trai_nghiem,tich_cuc
1,là bình mình nhận thì nó có hơi hở với không kín.,san_pham,tieu_cuc
1,Không biết có thể khắc phục bằng cách nào không?,cskh,trung_lap
2,Mua lần thứ 2,trai_nghiem,tich_cuc
2,giữ lạnh cũng tầm được hơn 12 tiếng,san_pham,tich_cuc
2,cái nắp sau 1 thời gian sử dụng sẽ không còn tự bật lên được nữa,san_pham,tieu_cuc
2,phải bấm nút rồi mở thủ công,san_pham,tieu_cuc
2,lần này sản phầm bị lỗi lúc phun hơn hay sao,san_pham,tieu_cuc
2,tạo thành chấm nhỏ li ti trên thân ly hơi xấu 😭,san_pham,tieu_cuc
3,Cũng là shop tick xanh uy tín chứ không phải là nơi bán hàng lẻ nào nhỏ cả,trai_nghiem,tieu_cuc
3,mà thật sự rất thất vọng khi nhận được hàng,trai_nghiem,tieu_cuc
3,sản phẩm đóng không kín nước đổ ra không biết làm cách nào khắc phục,dong_goi,tieu_cuc
3,giá cả cũng không hề rẻ so với mặt bằng chung sản phẩm,gia_ca,tieu_cuc
