content,rating,created_at,thank_count,label,ID,Unnamed: 4,Unnamed: 5,TicketID,Priority,idex,sentiment
"Mua hàng chiều ngày 06/03/2023. Nhận hàng sáng ngày 07/03/2023
Ly màu hồng có hoạ tiết giá 272,000
Ly màu đen giá 233,000
Giảm giá được 20,000
Hôm nay nhận 2 ly này là ly thứ 6 rồi. Nắp cải tiến so với mẫu cũ khá tiện lợi vì chỉ cần bật qua phải + nhấn là mở nắp. 
Có 1 vấn đề nhỏ là nếu miếng lò xo ở nắp gãy hoặc rỉ sét thì khi mở nắp chắc phải xoay mở luôn nắp bự ra mới uống đc. 
Chất lượng giữ nhiệt với mình là ổn.
Vỏ ly dễ trầy xước nếu bị rơi, va đập.
Hàng của Look & Look thì đẹp, chất lượng. Tiki giao hàng nhanh. Mình đánh giá 5⭐️ và sẽ mua tiếp những lần sau.",5.0,,5.0,other,,,,,,,p
"Hôm qua mình mua 1 bình về vợ thấy thích quá. Nên đặt thêm cho vợ 1 bình nữa, mà sáng nay đã giao rồi, Tiki quá tuyệt vời luôn. Gói hàng chắn chắc, shipper thân thiện nữa. Không có chỗ nào chê luôn. 5 sao cho Tiki nha ❤
Nhưng mình hỏi xíu, là bình mình nhận thì nó có hơi hở với không kín. Không biết có thể khắc phục bằng cách nào không?",5.0,,18.0,other,,,,,,,p
"Mua lần thứ 2, giữ lạnh cũng tầm được hơn 12 tiếng, cái nắp sau 1 thời gian sử dụng sẽ không còn tự bật lên được nữa mà phải bấm nút rồi mở thủ công, nhưng lần này sản phầm bị lỗi lúc phun hơn hay sao mà tạo thành chấm nhỏ li ti trên thân ly hơi xấu 😭",4.0,,0.0,other,,,,,,,n
"Cũng là shop tick xanh uy tín chứ không phải là nơi bán hàng lẻ nào nhỏ cả, nhưng mà thật sự rất thất vọng khi nhận được hàng, sản phẩm đóng không kín nước đổ ra không biết làm cách nào khắc phục, giá cả cũng không hề rẻ so với mặt bằng chung sản phẩm, nhưng nhận lại là sự chăm sóc khách hàng không có tâm trong khi là 1 shop có uy tín, nếu sản phẩm đã không tốt sẵn thì tại sao không thẩm định trước khi bán?? Thôi coi như là 1 bài học, mong shop sẽ có khắc phục chứ như vầy rất thất vọng về sản phẩm",1.0,,3.0,quality,,,,,,,n
"Tiki giao hàng nhanh và đóng gói cẩn thận. Về thương hiệu LocknLock, mình đã sử dụng nhiều và thương hiệu khá uy tín về chất lượng và mẫu mã. Riêng sản phẩm này thì thiết kế vừa tay và chắc, mang phong cách tối giản, đẹp và hữu dụng. Mọi người luôn ủng hộ sản phẩm của LocknLock nhé 👌👌👌",5.0,,1.0,other,,,,,,,p
"Mình mua 2 bình, bình đẹp, dễ dùng, nhưng khuyên các bác nên mua thêm ống hút vì những lúc lái xe ko thể ngửa cổ lên tu được, nắp bật chắc chắn, nhưng rơi cái là gẫy. Vẫn tặng shop 5* vì mình thích sản phẩm này",5.0,,0.0,other,,,,,,,p
"Tuyệt vời, sản phẩm này đáp ứng đúng 99,9% kỳ vọng về chất lượng của mình. Nhưng có một điều nhỏ là khi nhận được hàng thì có vẻ bình đã được nhân viên lắp giúp giăng cao su rồi, nhưng chắc không sao. Về hình minh họa thì các bạn hoàn toàn có thể xem các comment khác nha, y như vậy đó. Đề nghị các bạn đều phải sắm bình giữ nhiệt nha.",5.0,,0.0,other,,,,,,,p
"Tiki giao hàng siêu nhanh. Tối khuya đặt hàng, chiều hôm sau đã nhận được. 
Đúng mẫu, đúng màu. 
Tuy nhiên phần nắm gài ko đc chắc chắn, phải ấn mạnh tay mới vào và rất nhạy, đụng nhẹ nút thôi là bung nắp bật ra rồi. 
Không biết các bình khác có bị trải nghiệm tương tự ko?
Mình đã mua 1 bình thế này từ Katinat nhưng rất chắc chắn và êm tay.",4.0,,0.0,hdsd,,,,,,,n
"Giao hàng quá nhanh, đóng gói chắc chắn. Ly đẹp, nhẹ, chất lượng dù chưa dùng thử nhưng của LocknLock thì tin tưởng.",5.0,,0.0,deliver,,,,,,,p
"tầm vài năm trước mình cũng đã mua một ly giữ nhiệt của l&l, bị mất nên nay mua lại. mình không nhớ tên ly cũ nhưng phần nắp của ly này cải tiến rõ rệt so với cái cũ mình đã dùng đặc biệt là tính năng nhấn để mở rất tiện. mình sử dụng tầm lần thứ 3 là đã hoàn toàn không thấy mùi nhựa nữa, sờ vào nắp ly cũng không có cảm giác nhựa kém chất lượng. chỉ có điều không hiểu sao phần nắp ly hơi bị vênh như hình :((",4.0,,0.0,hdsd,,,,,,,n
