title,content,rating,created_at
Cực kì hài lòng,Sách mới có bản quyền đầy đủ của fahasa. Trắng đen chứ không phải bảng màu nhưng sách nhập. Tôi cần luyện thi đề toeic ngữ pháp cơ bản thì nên mua nha,5,2025-04-25 11:09:24
Cực kì hài lòng,"Đây là cuốn sách ngữ pháp hay nhất mà mình từng mua. Sách dành cho người tự học đã có căn bản về từ vựng. Sách trình bày dễ hiểu, có bài tập cho mỗi bài ngữ pháp và bài tập bổ sung ở phía sau.",5,2024-02-12 20:24:13
Cực kì hài lòng,"Dịch bệnh nên tiki giao hàng hơi lâu chút, điều này mình có thể thông cảm được. Nhưng cũng không quá lâu so với dự kiến (chậm 1 ngày thôi), mình còn tưởng lâu hơn cơ vì mình đọc chỉ thị là shipper cũng không được làm việc. (Mình ở Hà Nội)
Về cuốn sách, mình làm cuốn này được hơn một tuần rồi, mỗi ngày đều đặn ít nhất 2 units, vì mình mới thi đại học xong nên vẫn còn lười chút nhưng cố gắng duy trì mỗi ngày, bởi mỗi unit chỉ gói gọn trong 2 trang(1 trang lý thuyết và 1 trang bài tập). Vì thế nên cách bố trí cũng không giống kiểu sách Giải thích ngữ pháp của Mai Lan Hương mà mình đã từng làm (tất cả gói gọn trong một bài, lý thuyết hết rồi mới đến bài tập luyện) các bạn có thể xem ở mục lục. Nhờ đó nên mình thấy làm quyển này khá vui và ko bị dễ nản. 
Sách phù hợp cho các bạn chưa chắc kiến thức muốn ôn lại từ đầu. Những bạn mất gốc thì hơi mệt xíu vì sách full tiếng anh. Dù sao mình vẫn thích sách của MLH hơn vì nó trình bày rất bài bản và đầy đủ, không quá lan man, SIÊU PHÙ HỢP với các bạn ôn thi THPTQG. Bây giờ mình không học để thi nữa nên thích làm quyển này hơn. Sách giấy giày đẹp. Xứng đáng giá tiền.
Còn về đóng gói thì lúc mình nhận hộp hơi nát, bên trong có miếng xốp mỏng nên ok.",5,2021-08-23 10:18:47
Cực kì hài lòng,"Lần đầu mua hàng trên Fahasa rất ưng ạ. Sách tuy là sách photo từ bản gốc nhưng chất lượng thì ko cần bàn tới ạ. Rất tuyệt vời, giấy in và mực ib vô cùng sắc nét. Nhà sách còn in bill nữa ạ. tuy sách được ghi bằng tiếng anh hết nhưng mà đây cũng là một cách để mình học thêm từ mới. Ncl ưng lắm ạ.",5,2021-08-31 09:49:20
Cực kì hài lòng,"Hàng giao nhanh, sốp đóng gói hàng kĩ lắm nhen, 1000 đỉm",5,2025-05-18 09:36:53
Cực kì hài lòng,"Sách giao đúng thời gian hẹn, bao bọc kĩ càng. Chất lượng giấy và màu sắc đẹp, rõ nét. Nội dung sách hoàn toàn bằng tiếng anh nhưng giải thích rất rõ ràng, dễ hiểu, còn có hình ảnh minh hoạ. Đây là 1 sự lựa chọn đúng đắn của mình khi ôn luyện lại ngữ pháp Tiếng Anh chuẩn.",5,2023-06-11 15:37:44
Cực kì hài lòng,"Sách đẹp lắm ạ, cầm cuốn sách trên tay thấy đáng đồng tiền bát gạo thật sự, sách khá dày, chữ và hình ảnh được in rất sắc nét, hàng không bị móp méo gì, nói chung cực ưng ý, chỉ có điều là giao hàng khá lâu thôi ạ, chờ sách về đến mòn mỏi",5,2021-11-17 16:13:59
Cực kì hài lòng,"sách rất dày, đây là cuốn sách tmifnh ưng nhất về ngữ pháp trc h,. mình biết có bản họ dịch ra tiêng việt nhưng mình khuyên các bạn đang đắn đo giữ hai bản thì nên quyết định mua bản này vì nó thật sự đáng mua lắm nhất là đối với mấy bạn muốn bắt đầu học để thi các chứng chỉ nói chung. Mình đã luyện qua quyển ngữ pháp của Mai Lan Hương lúc thi đh cuốn đó rất chi tiết nhưng sẽ k sinh động và nếu bạn có khả năng tự học cao thì cuốn đó cân ngữ pháp cho bạn rất tốt còn cuốn này thì sinh động giải thích dễ hiểu kiến thức đủ để bạn có đc một cái nền ngữ pháp tốt. sách trắng đen mà 17xk nó sẽ khác với sách 5xk nhìn quyển sách là bạn sẽ thấy học hành chán xíu nào. (hơi điên rồ nhưng nếu bạn nào thích mùi sách mới thì cuốn này ngửi phê lắm nha :))) ). có điều kiện thì mua luốn quyển MLH khoảng 80k học kèm quyển này cũng ổn lắm không thì thôi cuốn này cũng đủ rồi.",5,2021-07-20 10:49:05
Nên mua,"Sách được bọc kĩ, có mùi rất thích, trang giấy mịn và dày. Nội dung sách thì khỏi phải chê. Vì muốn thi Toeic nên mình mua sách về làm củng cố ngữ pháp. Vốn tự tin về ngữ pháp (do mình ôn luyện thi tiếng Anh thptqg) nhưng khi học và làm bt trong sách mới vỡ ra còn nhiều cái mình không biết. Sách rất hay và đầy đủ kiến thức. Có cả phần đáp án nữa. Nên mua nha mn. Tuy nhiên sách chỉ toàn tiếng Anh thôi. Nên nếu ai mất gốc thì nên cân nhắc",5,2021-07-20 17:55:12
Cực kì hài lòng,"Nội dung đc review khá nhiều rồi nên mình kg nói nữa, mình đặt sách của fahasa canh sale 11/11 nên giá khá hời, chất lượng sách không phải bàn rồi mọi người, sách đc bọc cẩn thận, giao hàng đúng dự kiến, siêu siêu ưng luôn nha mọi người. Nên đặt",5,2021-11-18 15:51:52
